X,Y
235838.1091,601512.3587
235838.1084,601537.4072
235838.1071,601562.3656
235813.1079,601587.4032
235788.1082,601612.3606
235763.109,601637.408
235763.1078,601662.3664
235763.1069,601687.405
235763.1058,601712.3635
235763.1049,601737.4019
235763.1038,601762.3605
235763.1029,601787.3988
235763.1118,601812.3673
235763.1111,601837.4058
235763.1098,601862.3643
235763.109,601887.4028
235738.1093,601912.3604
235738.1085,601937.3988
235738.1074,601962.3673
235738.1066,601987.4058
235738.1054,602012.3642
235738.1047,602037.4028
235738.1034,602062.3611
235738.1027,602087.3997
235713.103,602112.3673
235713.1122,602137.4057
235688.1125,602162.3633
235688.1118,602187.4017
235688.1106,602212.3602
235688.1099,602237.4088
235688.1086,602262.3673
235688.1079,602287.4059
235688.1067,602312.3642
235688.106,602337.4028
235688.1048,602362.3613
235688.104,602387.3999
235688.1028,602412.3684
235688.1121,602437.4068
235688.1109,602462.3654
235688.1101,602487.4039
235688.1089,602512.3624
235688.1082,602537.4008
235688.107,602562.3694
235688.1064,602587.4079
235688.1051,602612.3664
235688.1043,602637.405
235688.1031,602662.3636
235688.1124,602687.4021
235688.1113,602712.3606
235688.1106,602737.4091
235688.1094,602762.3677
235688.1087,602787.4061
235688.1075,602812.3647
235688.1067,602837.4033
235688.1056,602862.3617
235688.1048,602887.4003
235688.1037,602912.3687
235688.113,602937.4072
235688.1118,602962.3658
235713.1095,602987.4053
235713.1085,603012.3638
235713.1077,603037.4025
235713.1065,603062.361
235713.1058,603087.4095
235738.1133,603112.3689
235738.1126,603137.4075
235738.1114,603162.366
235738.1106,603187.4046
235763.108,603212.3641
235763.1074,603237.4026
235788.1047,603262.362
235788.104,603287.4007
235788.1129,603312.3691
235813.1108,603337.4086
235813.1096,603362.3672
235838.1074,603387.4067
235838.1062,603412.3651
235838.1055,603437.4038
235838.105,603449.8881
235848.2914,603452.2023
235854.804,603454.0866
235868.0472,603457.4442
235875.6135,603459.8828
235890.6463,603464.8809
235905.4304,603470.0905
235916.5709,603474.8901
235925.6086,603479.3213
235939.2118,603486.248
235955.0882,603495.4028
235962.1255,603499.8852
235970.149,603505.4025
235975.6051,603509.7636
235984.5727,603515.9658
235995.6461,603524.8873
236000.612,603529.241
236012.3655,603538.1288
236026.1856,603549.8858
236040.5069,603560.0096
236050.6141,603567.8861
236071.0455,603579.4465
236087.572,603586.8069
236100.6061,603592.1263
236107.2643,603593.2097
236121.9061,603596.2091
236128.7911,603596.6811
236147.3472,603596.6477
236154.9337,603595.5651
236168.6335,603592.888
236175.6073,603591.3286
236187.5666,603586.8806
236200.6126,603581.7662
236214.109,603574.8888
236221.5688,603570.806
236236.9306,603561.2072
236250.6135,603551.8879
236265.9537,603540.2084
236275.6133,603532.3621
236284.4448,603524.8904
236293.0057,603517.3301
236305.9326,603505.204
236318.5077,603492.77
236330.7913,603480.0873
236342.6524,603466.9667
236350.6126,603457.5293
236356.8522,603449.882
236366.6461,603437.4032
236388.1134,603437.4038
236413.1107,603462.363
236438.1093,603462.364
236463.1079,603462.3649
236488.1064,603462.3658
236513.1143,603487.4052
236538.1128,603487.4061
236563.1112,603487.4071
236588.1098,603487.4079
236613.1083,603487.4089
236638.1057,603512.3682
236663.1143,603512.3689
236688.1128,603512.3698
236713.1106,603537.4094
236738.1091,603537.4002
236763.1066,603562.3695
236788.1151,603562.3604
236813.1129,603587.4098
236838.1114,603587.4007
236863.1099,603587.4016
236888.1085,603587.4025
236891.2873,603590.5858
236871.8707,603621.1244
236870.5493,603629.9647
236869.6065,603643.8847
236870.1503,603655.3257
236873.8505,603674.8816
236875.6136,603682.5244
236878.575,603696.9629
236880.6298,603704.8842
236883.4086,603717.0828
236894.7077,603755.7632
236900.615,603772.8862
236908.0068,603792.5215
236916.1932,603809.3217
236919.9496,603815.6431
236901.3534,603846.2071
236838.9503,604002.2075
236783.7925,604067.0767
236793.3697,604082.1285
236800.6082,604094.0023
236812.0703,604113.4452
236820.9928,604129.5209
236825.6137,604138.3682
236850.6111,604184.8851
236859.3276,604199.8816
236865.4465,604210.0811
236875.611,604226.45
236885.0125,604240.5224
236891.7069,604249.8884
236895.208,604255.2509
236900.6128,604262.9633
236905.8518,604269.6464
236910.2925,604274.8837
236916.5947,604283.8814
236929.7883,604299.8836
236938.5085,604311.9692
236943.2311,604317.5247
236950.6089,604327.4472
236959.169,604341.3242
236966.2891,604349.8875
236965.8538,604365.1252
236964.7277,604374.8847
236956.3669,604380.6433
236950.6103,604383.4061
236941.0958,604390.3615
236924.9533,604399.8847
236908.1094,604407.4109
236900.6138,604410.4438
236891.6514,604415.9656
236874.352,604426.1253
236860.4954,604434.7654
236845.7879,604445.0908
236840.2127,604449.8835
236831.6536,604455.9632
236825.606,604460.3684
236817.9917,604467.2431
236809.8514,604474.8911
236800.6116,604482.6852
236792.0469,604491.3257
236784.1718,604499.8826
236775.614,604508.0029
236767.6108,604516.8906
236756.9872,604531.2747
236763.1135,604537.4027
236788.111,604562.362
236813.1096,604562.3628
236838.1075,604587.4024
236863.106,604587.4031
236888.1146,604587.404
236913.112,604612.3633
236938.1107,604612.3641
236963.1092,604612.3649
236988.1078,604612.3658
237013.1063,604612.3666
237038.1148,604612.3674
237063.1145,604587.4097
237088.1136,604562.362
237113.1133,604537.4043
237138.1117,604537.4051
237163.1093,604562.3644
237188.1078,604562.3652
237213.1163,604562.3659
237238.1149,604562.3668
237263.1134,604562.3676
237288.112,604562.3684
237313.11,604587.4078
237338.1085,604587.4087
237363.107,604587.4095
237388.1156,604587.4103
237413.1131,604612.3697
237438.1115,604612.3704
237463.1101,604612.3612
237488.1087,604612.362
237513.1072,604612.3628
237538.1157,604612.3635
237563.1142,604612.3644
237588.1128,604612.3652
237613.1113,604612.366
237638.1099,604612.3667
237663.1084,604612.3676
237688.1164,604637.4069
237713.1149,604637.4076
237738.1124,604662.3671
237763.111,604662.3677
237788.1094,604662.3686
237813.1075,604687.4079
237838.116,604687.4086
237863.1144,604687.4095
237888.113,604687.4102
237913.1115,604687.401
237938.11,604687.4017
237963.1085,604687.4026
237988.117,604687.4033
238013.1155,604687.4042
238038.1141,604687.4048
238063.1126,604687.4058
238088.1111,604687.4065
238113.1086,604712.3657
238138.1171,604712.3664
238163.1151,604737.4058
238188.1136,604737.4065
238213.1111,604762.3658
238238.1097,604762.3666
238263.1081,604762.3672
238288.1162,604787.4066
238313.1137,604812.3658
238338.1116,604837.4051
238363.1101,604837.4059
238388.1177,604862.3651
238413.1157,604887.4043
238438.1132,604912.3637
238463.1112,604937.4029
238488.1097,604937.4037
238513.1182,604937.4043
238538.1167,604937.4051
238563.1157,604912.3672
238588.1142,604912.3681
238613.1128,604912.3688
238688.1182,604912.361
238688.1092,604887.4025
238688.1097,604862.3639
238713.1092,604837.4063
238738.1182,604812.3685
238763.1176,604787.4008
238788.1166,604762.363
238788.1176,604737.4045
238788.1181,604712.366
238813.1176,604687.4082
238813.1181,604662.3697
238838.1175,604637.402
238838.118,604612.3636
238838.109,604587.4052
238838.1095,604562.3666
238863.109,604537.4088
238888.1179,604512.3612
238888.1088,604487.4028
238888.1094,604462.3642
238888.1104,604437.4058
238888.1109,604412.3672
238888.1118,604387.4088
238888.1124,604362.3604
238913.1118,604337.4027
238938.1103,604337.4034
238963.1093,604312.3658
238988.1087,604287.4081
238988.1093,604262.3596
238988.1101,604237.4012
238988.1108,604212.3626
239013.1101,604187.4049
239013.1107,604162.3663
239038.1102,604137.4088
239063.1091,604112.3612
239088.1185,604087.4032
239113.1176,604062.3657
239138.1169,604037.4079
239156.998,604018.4963
239167.751,604032.7613
239175.6177,604042.4409
239181.8712,604049.8885
239201.8972,604074.8853
239234.01,604116.5206
239240.3187,604124.8882
239258.5141,604149.8852
239265.4928,604159.9998
239275.6112,604175.2486
239285.1385,604190.3607
239290.8735,604199.8819
239294.3295,604206.1247
239300.6178,604218.0038
239304.3774,604224.8852
239311.2497,604239.2416
239316.1706,604249.8878
239318.8491,604256.6452
239325.8545,604275.1224
239331.8497,604293.6454
239333.8151,604299.8865
239339.9765,604324.8806
239341.6768,604333.8041
239343.2358,604342.5285
239345.3768,604355.1207
239348.2309,604377.2423
239350.6133,604402.6476
239352.3776,604426.6459
239353.6142,604452.8878
239354.2774,604478.5628
239354.3167,604503.5612
239353.6924,604527.9629
239352.4342,604551.6878
239350.374,604575.1273
239347.3094,604603.2038
239344.5693,604624.8865
239343.5585,604631.9644
239342.4927,604641.7637
239341.2175,604649.8836
239339.7154,604663.9668
239338.2957,604674.8883
239336.4945,604699.8868
239336.8314,604713.6797
239337.294,604724.8808
239339.8139,604739.0816
239341.8549,604749.8838
239344.1515,604756.3232
239353.298,604774.8886
239363.2103,604787.2475
239375.776,604800.0818
239390.1579,604810.3252
239405.7358,604819.7615
239415.6777,604824.8879
239425.6176,604829.6443
239433.9102,604833.2092
239439.6967,604835.8078
239450.6145,604840.1285
239457.5726,604842.9607
239477.2378,604849.8834
239500.6189,604857.6457
239511.5704,604860.8058
239525.6173,604864.8089
239533.6117,604866.8851
239550.9393,604870.7998
239614.6844,604878.6072
239684.0374,604880.3214
239806.5951,604854.5098
239928.9485,604813.624
240049.2617,604774.6106
240110.7535,604755.0612
240164.7938,604742.8859
240175.6181,604741.2049
240200.6126,604738.6848
240225.6141,604737.445
240275.6134,604736.0859
240286.3345,604735.6462
240300.6165,604735.1263
240310.2966,604734.5622
240325.6173,604733.7665
240333.8565,604733.1204
240342.8368,604732.6403
240350.6163,604732.0867
240357.175,604731.4398
240370.0142,604730.5281
240380.2121,604729.5208
240435.4547,604724.8814
240449.5939,604723.8823
240473.335,604722.6395
240497.5585,604721.8042
240522.4562,604721.6855
240548.0783,604722.3228
240574.5356,604723.806
240599.5561,604725.9672
240621.8585,604728.6438
240643.7728,604731.6826
240650.6111,604732.7649
240687.5027,604738.0109
240663.1203,604762.3652
240638.1114,604787.4029
240638.1206,604812.3612
240613.1117,604837.3991
240613.1209,604862.3674
240613.1204,604887.4059
240588.1211,604912.3636
240588.1206,604937.4021
240588.1198,604962.3606
240588.1194,604987.409
240588.1185,605012.3673
240588.1182,605037.4057
240588.1172,605062.3642
240588.1168,605087.4027
240563.1174,605112.3603
240538.1187,605137.4082
240538.1178,605162.3666
240538.1174,605187.4051
240538.1165,605212.3634
240513.1176,605237.4013
240513.1167,605262.3598
240513.1163,605287.4081
240488.1171,605312.3659
240463.1182,605337.4037
240463.1173,605362.3622
240438.1184,605387.3999
240413.1192,605412.3678
240413.1188,605437.4064
240388.1195,605462.3641
240363.1206,605487.402
240363.1197,605512.3603
240338.1209,605537.4081
240338.1201,605562.3666
240313.1211,605587.4044
240313.1202,605612.3629
240288.1113,605637.4007
240288.1205,605662.3692
240288.1202,605687.4077
240288.1193,605712.3661
240288.1189,605737.4046
240263.1196,605762.3625
240238.1207,605787.4002
240238.1199,605812.3688
240216.8115,605833.6948
240200.6194,605825.3222
240184.2931,605816.2102
240175.6211,605811.0067
240168.5561,605806.9648
240157.0728,605799.8864
240150.6163,605795.5209
240138.1368,605787.4077
240125.6131,605778.5244
240120.1808,605774.8836
240108.9007,605766.5636
240100.6202,605759.8075
240094.7558,605755.7689
240080.8192,605744.6827
240075.6118,605740.0901
240066.9526,605733.5663
240056.8007,605724.8899
240050.6169,605719.2024
240039.8756,605710.6495
240028.2716,605699.8805
240015.0765,605685.4091
239992.0782,605658.4082
239988.1189,605662.3615
239963.12,605687.4094
239963.1192,605712.3679
239938.1203,605737.4057
239913.1208,605762.3635
239913.1204,605787.4021
239913.1196,605812.3705
239888.1206,605837.4084
239888.1198,605862.3667
239888.1194,605887.4054
239888.1185,605912.3638
239888.118,605937.4023
239888.1173,605962.3608
239863.1183,605987.4087
239863.1175,606012.3672
239863.1171,606037.4057
239838.1176,606062.3635
239838.1173,606087.4021
239838.1164,606112.3706
239813.1176,606137.4084
239788.1182,606162.3663
239763.1192,606187.4041
239738.1198,606212.362
239713.121,606237.4099
239688.1116,606262.368
239663.1126,606287.4057
239638.1132,606312.3636
239613.1143,606337.4014
239588.1149,606362.3695
239563.116,606387.4073
239538.1166,606412.3652
239513.1177,606437.4031
239488.1182,606462.3709
239488.1179,606487.4095
239463.1185,606512.3674
239463.1181,606537.4058
239463.1172,606562.3644
239463.1168,606587.4029
239438.1174,606612.371
239438.117,606637.4095
239413.1176,606662.3674
239413.1172,606687.4058
239388.1177,606712.3638
239388.1174,606737.4024
239363.1181,606762.3702
239338.119,606787.4082
239313.1196,606812.3661
239288.1207,606837.404
239263.1113,606862.372
239238.1128,606862.3714
239213.1142,606862.3707
239205.1914,606862.3649
239136.9334,606913.5631
239125.6108,606920.9687
239118.6603,606924.8887
239107.3541,606931.6441
239076.4008,606949.1025
239063.1201,606962.3712
239038.1112,606987.4092
239038.1203,607012.3678
239013.1113,607037.4058
238988.1119,607062.3637
238963.1129,607087.4117
238963.112,607112.3701
238938.113,607137.4082
238913.1137,607162.366
238913.1132,607187.4046
238913.1124,607212.3632
238913.1119,607237.4119
238913.1112,607262.3705
238913.1207,607287.409
238888.1113,607312.3669
238888.1108,607337.4056
238863.1114,607362.3635
238863.111,607387.4123
238838.1115,607412.3703
238813.1125,607437.4081
238788.1131,607462.3661
238788.1127,607487.4047
238763.1132,607512.3727
238763.1129,607537.4113
238738.1133,607562.3693
238713.1148,607562.3686
238688.1161,607562.368
238678.9415,607583.6166
238673.1525,607652.3325
238669.2769,607674.8918
238666.0319,607690.3254
238663.9545,607699.8902
238659.7116,607715.7694
238655.7596,607730.0061
238643.898,607768.1256
238642.1351,607774.8876
238636.9793,607788.5311
238630.2362,607804.5242
238625.6119,607813.0131
238618.7958,607824.8851
238611.5541,607835.8092
238586.9195,607868.7779
238563.5604,608094.5662
238508.2924,608238.2542
238304.6242,608283.5153
238284.2794,608316.2102
238267.6772,608341.9716
238262.3597,608349.894
